Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2002,MO,1877620.0,913778.0,935032.0
2002,MS,630495.0,314090.0,533269.0
2002,MT,326537.0,204853.0,103611.0
2002,NC,2331181.0,1047983.0,1248664.0
2002,ND,287539.0,176470.0,111069.0
2002,NE,480217.0,70290.0,397438.0
2002,NH,447135.0,207478.0,227229.0
2002,NJ,2112604.0,1138193.0,928439.0
2002,NM,483056.0,168863.0,314193.0
2002,NV,600776.0,238260.0,330687.0
2002,NY,6959662.0,3562415.0,2724589.0
2002,OH,4448801.0,1595066.0,2665512.0
2002,OK,1018424.0,369789.0,583579.0
2002,OR,1267221.0,501898.0,712287.0
2002,PA,4735116.0,2154908.0,2481962.0
2002,RI,323582.0,253774.0,69808.0
2002,SC,1102912.0,487359.0,600010.0
2002,SD,337501.0,167481.0,166949.0
2002,TN,1642432.0,728232.0,891498.0
2002,TX,4514012.0,1955758.0,2496243.0
2002,UT,769704.0,242569.0,504803.0
2002,VA,1489422.0,1296093.0,1229894.0
2002,VT,288500.0,73352.0,189133.0
2002,WA,2461379.0,1199437.0,1197208.0
2002,WI,2540083.0,1563238.0,940744.0
2002,WV,436183.0,275281.0,160902.0
2002,WY,183280.0,49570.0,133710.0
2003,AK,229548.0,24133.0,179438.0
2003,AL,1353023.0,538878.0,792561.0
2003,AR,804121.0,433386.0,370735.0
2003,AZ,1397076.0,400602.0,1108196.0
2003,CA,10623608.0,5932522.0,3886853.0
2003,CO,1416082.0,648130.0,717893.0
2003,CT,1311261.0,828902.0,448077.0
2003,DE,232314.0,135253.0,94793.0
2003,FL,5856731.0,2989487.0,2705348.0
2003,GA,2031604.0,932422.0,1071352.0
2003,HI,345623.0,251215.0,84701.0
2003,IA,1023075.0,554278.0,447892.0
2003,ID,408544.0,132975.0,266215.0
2003,IL,3486851.0,2103766.0,1325703.0
2003,IN,2145209.0,683273.0,1427944.0
2003,KS,776850.0,1023553.0,641075.0
2003,KY,1131313.0,399634.0,731679.0
2003,LA,2481629.0,1235554.0,1229344.0
2003,MA,2220301.0,1605976.0,334341.0
2003,MD,1946898.0,1230013.0,715178.0
2003,ME,504899.0,209858.0,295041.0
2003,MI,3129287.0,1896614.0,1185545.0
2003,MN,2254636.0,1078627.0,1116697.0
2003,MO,1877620.0,913778.0,935032.0
2003,MS,630495.0,314090.0,533269.0
2003,MT,326537.0,204853.0,103611.0
2003,NC,2331181.0,1047983.0,1248664.0
2003,ND,287539.0,176470.0,111069.0
2003,NE,480217.0,70290.0,397438.0
2003,NH,447135.0,207478.0,227229.0
2003,NJ,2112604.0,1138193.0,928439.0
2003,NM,483056.0,168863.0,314193.0
2003,NV,600776.0,238260.0,330687.0
2003,NY,6959662.0,3562415.0,2724589.0
2003,OH,4448801.0,1595066.0,2665512.0
2003,OK,1018424.0,369789.0,583579.0
2003,OR,1267221.0,501898.0,712287.0
2003,PA,4735116.0,2154908.0,2481962.0
2003,RI,323582.0,253774.0,69808.0
2003,SC,1102912.0,487359.0,600010.0
2003,SD,337501.0,167481.0,166949.0
2003,TN,1642432.0,728232.0,891498.0
2003,TX,4514012.0,1955758.0,2496243.0
2003,UT,769704.0,242569.0,504803.0
2003,VA,1489422.0,1296093.0,1229894.0
2003,VT,288500.0,73352.0,189133.0
