Year,State,Total_Pres_Votes,Dem_Pres_Votes,Rep_Pres_Votes
2002,MO,2359892.0,1111138.0,1189924.0
2002,MS,994184.0,404614.0,572844.0
2002,MT,410986.0,137126.0,240178.0
2002,NC,2914990.0,1257692.0,1631163.0
2002,ND,288256.0,95284.0,174852.0
2002,NE,697019.0,231780.0,433862.0
2002,NH,569081.0,266348.0,273559.0
2002,NJ,3187226.0,1788850.0,1284173.0
2002,NM,598605.0,286783.0,286417.0
2002,NV,609426.0,279978.0,301575.0
2002,NY,6960215.0,3942215.0,2258577.0
2002,OH,4701998.0,2183628.0,2350363.0
2002,OK,1234229.0,474276.0,744337.0
2002,OR,1533950.0,720342.0,713577.0
2002,PA,4912185.0,2485967.0,2281127.0
2002,RI,409112.0,249508.0,130555.0
2002,SC,1383902.0,566037.0,786892.0
2002,SD,316269.0,118804.0,190700.0
2002,TN,2076181.0,981720.0,1061949.0
2002,TX,6407637.0,2433746.0,3799639.0
2002,UT,770754.0,203053.0,515096.0
2002,VA,2739447.0,1217290.0,1437490.0
2002,VT,294308.0,149022.0,119775.0
2002,WA,2487433.0,1247652.0,1108864.0
2002,WI,2598607.0,1242987.0,1237279.0
2002,WV,648124.0,295497.0,336475.0
2002,WY,213726.0,60481.0,147947.0
2003,AK,285560.0,79004.0,167398.0
2003,AL,1666272.0,692611.0,941173.0
2003,AR,921781.0,422768.0,472940.0
2003,AZ,1532016.0,685341.0,781652.0
2003,CA,10965822.0,5861203.0,4567429.0
2003,CO,1741368.0,738227.0,883748.0
2003,CT,1459525.0,816015.0,561094.0
2003,DE,327529.0,180068.0,137288.0
2003,FL,5963110.0,2912253.0,2912790.0
2003,GA,2583208.0,1116230.0,1419720.0
2003,HI,367951.0,205286.0,137845.0
2003,IA,1353022.0,638517.0,634373.0
2003,ID,501615.0,138637.0,336937.0
2003,IL,4742108.0,2589026.0,2019421.0
2003,IN,2199302.0,901980.0,1245836.0
2003,KS,1072216.0,399276.0,622332.0
2003,KY,1544106.0,638923.0,872520.0
2003,LA,1765656.0,792344.0,927871.0
2003,MA,2733964.0,1616487.0,878502.0
2003,MD,2025212.0,1144008.0,813827.0
2003,ME,651817.0,319951.0,286616.0
2003,MI,4232501.0,2170418.0,1953139.0
2003,MN,2438685.0,1168266.0,1109659.0
2003,MO,2359892.0,1111138.0,1189924.0
2003,MS,994184.0,404614.0,572844.0
2003,MT,410986.0,137126.0,240178.0
2003,NC,2914990.0,1257692.0,1631163.0
2003,ND,288256.0,95284.0,174852.0
2003,NE,697019.0,231780.0,433862.0
2003,NH,569081.0,266348.0,273559.0
2003,NJ,3187226.0,1788850.0,1284173.0
2003,NM,598605.0,286783.0,286417.0
2003,NV,609426.0,279978.0,301575.0
2003,NY,6960215.0,3942215.0,2258577.0
2003,OH,4701998.0,2183628.0,2350363.0
2003,OK,1234229.0,474276.0,744337.0
2003,OR,1533950.0,720342.0,713577.0
2003,PA,4912185.0,2485967.0,2281127.0
2003,RI,409112.0,249508.0,130555.0
2003,SC,1383902.0,566037.0,786892.0
2003,SD,316269.0,118804.0,190700.0
2003,TN,2076181.0,981720.0,1061949.0
2003,TX,6407637.0,2433746.0,3799639.0
2003,UT,770754.0,203053.0,515096.0
2003,VA,2739447.0,1217290.0,1437490.0
2003,VT,294308.0,149022.0,119775.0
2003,WA,2487433.0,1247652.0,1108864.0
2003,WI,2598607.0,1242987.0,1237279.0
2003,WV,648124.0,295497.0,336475.0
2003,WY,213726.0,60481.0,147947.0
2004,AK,312598.0,111025.0,190889.0
2004,AL,1883415.0,693933.0,1176394.0
2004,AR,1054945.0,469953.0,572898.0
2004,AZ,2012585.0,893524.0,1104294.0
2004,CA,12421353.0,6745485.0,5509826.0
2004,CO,2129630.0,1001732.0,1101255.0
2004,CT,1578769.0,857488.0,693826.0
2004,DE,375190.0,200152.0,171660.0
2004,FL,7609810.0,3583544.0,3964522.0
2004,GA,3301875.0,1366149.0,1914254.0
2004,HI,429013.0,231708.0,194191.0
2004,IA,1506908.0,741898.0,751957.0
2004,ID,598376.0,181098.0,409235.0
2004,IL,5274322.0,2891550.0,2345946.0
2004,IN,2468002.0,969011.0,1479438.0
2004,KS,1187756.0,434993.0,736456.0
2004,KY,1795882.0,712733.0,1069439.0
2004,LA,1943106.0,820299.0,1102169.0
2004,MA,2927455.0,1803800.0,1071109.0
2004,MD,2384238.0,1334500.0,1024703.0
2004,ME,740752.0,396842.0,330201.0
2004,MI,4839252.0,2479183.0,2313746.0
2004,MN,2828387.0,1445014.0,1346695.0
2004,MO,2731364.0,1259171.0,1455713.0
2004,MS,1139824.0,457766.0,672660.0
2004,MT,450434.0,173710.0,266063.0
2004,NC,3501007.0,1525849.0,1961166.0
2004,ND,312833.0,111052.0,196651.0
2004,NE,778186.0,254328.0,512814.0
2004,NH,678287.0,340511.0,331237.0
2004,NJ,3611691.0,1911430.0,1670003.0
2004,NM,756304.0,370942.0,376930.0
2004,NV,829587.0,397190.0,418690.0
2004,NY,7448266.0,4180755.0,2806993.0
2004,OH,5627903.0,2741165.0,2859764.0
2004,OK,1463758.0,503966.0,959792.0
2004,OR,1836782.0,943163.0,866831.0
2004,PA,5769590.0,2938095.0,2793847.0
2004,RI,437134.0,259760.0,169046.0
2004,SC,1617700.0,661669.0,937974.0
2004,SD,388215.0,149244.0,232584.0
2004,TN,2437319.0,1036477.0,1384375.0
2004,TX,7410749.0,2832704.0,4526917.0
2004,UT,927844.0,241199.0,663742.0
2004,VA,3195415.0,1454742.0,1716959.0
2004,VT,312309.0,184067.0,121180.0
2004,WA,2859084.0,1510201.0,1304894.0
2004,WI,2997007.0,1489504.0,1478120.0
2004,WV,755792.0,326541.0,423778.0
2004,WY,243861.0,70776.0,167629.0
2005,AK,312598.0,111025.0,190889.0
2005,AL,1883415.0,693933.0,1176394.0
2005,AR,1054945.0,469953.0,572898.0
2005,AZ,2012585.0,893524.0,1104294.0
2005,CA,12421353.0,6745485.0,5509826.0
2005,CO,2129630.0,1001732.0,1101255.0
2005,CT,1578769.0,857488.0,693826.0
2005,DE,375190.0,200152.0,171660.0
2005,FL,7609810.0,3583544.0,3964522.0
2005,GA,3301875.0,1366149.0,1914254.0
2005,HI,429013.0,231708.0,194191.0
2005,IA,1506908.0,741898.0,751957.0
2005,ID,598376.0,181098.0,409235.0
2005,IL,5274322.0,2891550.0,2345946.0
2005,IN,2468002.0,969011.0,1479438.0
2005,KS,1187756.0,434993.0,736456.0
2005,KY,1795882.0,712733.0,1069439.0
2005,LA,1943106.0,820299.0,1102169.0
2005,MA,2927455.0,1803800.0,1071109.0
2005,MD,2384238.0,1334500.0,1024703.0
2005,ME,740752.0,396842.0,330201.0
2005,MI,4839252.0,2479183.0,2313746.0
2005,MN,2828387.0,1445014.0,1346695.0
2005,MO,2731364.0,1259171.0,1455713.0
2005,MS,1139824.0,457766.0,672660.0
2005,MT,450434.0,173710.0,266063.0
2005,NC,3501007.0,1525849.0,1961166.0
2005,ND,312833.0,111052.0,196651.0
2005,NE,778186.0,254328.0,512814.0
2005,NH,678287.0,340511.0,331237.0
2005,NJ,3611691.0,1911430.0,1670003.0
2005,NM,756304.0,370942.0,376930.0
2005,NV,829587.0,397190.0,418690.0
2005,NY,7448266.0,4180755.0,2806993.0
2005,OH,5627903.0,2741165.0,2859764.0
2005,OK,1463758.0,503966.0,959792.0
2005,OR,1836782.0,943163.0,866831.0
2005,PA,5769590.0,2938095.0,2793847.0
2005,RI,437134.0,259760.0,169046.0
2005,SC,1617700.0,661669.0,937974.0
2005,SD,388215.0,149244.0,232584.0
2005,TN,2437319.0,1036477.0,1384375.0
2005,TX,7410749.0,2832704.0,4526917.0
2005,UT,927844.0,241199.0,663742.0
2005,VA,3195415.0,1454742.0,1716959.0
2005,VT,312309.0,184067.0,121180.0
2005,WA,2859084.0,1510201.0,1304894.0
2005,WI,2997007.0,1489504.0,1478120.0
2005,WV,755792.0,326541.0,423778.0
2005,WY,243861.0,70776.0,167629.0
2006,AK,312598.0,111025.0,190889.0
2006,AL,1883415.0,693933.0,1176394.0
2006,AR,1054945.0,469953.0,572898.0
2006,AZ,2012585.0,893524.0,1104294.0
2006,CA,12421353.0,6745485.0,5509826.0
2006,CO,2129630.0,1001732.0,1101255.0
2006,CT,1578769.0,857488.0,693826.0
2006,DE,375190.0,200152.0,171660.0
2006,FL,7609810.0,3583544.0,3964522.0
2006,GA,3301875.0,1366149.0,1914254.0
2006,HI,429013.0,231708.0,194191.0
2006,IA,1506908.0,741898.0,751957.0
2006,ID,598376.0,181098.0,409235.0
2006,IL,5274322.0,2891550.0,2345946.0
2006,IN,2468002.0,969011.0,1479438.0
2006,KS,1187756.0,434993.0,736456.0
2006,KY,1795882.0,712733.0,1069439.0
2006,LA,1943106.0,820299.0,1102169.0
2006,MA,2927455.0,1803800.0,1071109.0
2006,MD,2384238.0,1334500.0,1024703.0
2006,ME,740752.0,396842.0,330201.0
2006,MI,4839252.0,2479183.0,2313746.0
2006,MN,2828387.0,1445014.0,1346695.0
2006,MO,2731364.0,1259171.0,1455713.0
2006,MS,1139824.0,457766.0,672660.0
2006,MT,450434.0,173710.0,266063.0
2006,NC,3501007.0,1525849.0,1961166.0
2006,ND,312833.0,111052.0,196651.0
2006,NE,778186.0,254328.0,512814.0
2006,NH,678287.0,340511.0,331237.0
2006,NJ,3611691.0,1911430.0,1670003.0
2006,NM,756304.0,370942.0,376930.0
2006,NV,829587.0,397190.0,418690.0
2006,NY,7448266.0,4180755.0,2806993.0
2006,OH,5627903.0,2741165.0,2859764.0
2006,OK,1463758.0,503966.0,959792.0
2006,OR,1836782.0,943163.0,866831.0
2006,PA,5769590.0,2938095.0,2793847.0
2006,RI,437134.0,259760.0,169046.0
2006,SC,1617700.0,661669.0,937974.0
2006,SD,388215.0,149244.0,232584.0
2006,TN,2437319.0,1036477.0,1384375.0
2006,TX,7410749.0,2832704.0,4526917.0
2006,UT,927844.0,241199.0,663742.0
2006,VA,3195415.0,1454742.0,1716959.0
2006,VT,312309.0,184067.0,121180.0
2006,WA,2859084.0,1510201.0,1304894.0
2006,WI,2997007.0,1489504.0,1478120.0
2006,WV,755792.0,326541.0,423778.0
2006,WY,243861.0,70776.0,167629.0
2007,AK,312598.0,111025.0,190889.0
2007,AL,1883415.0,693933.0,1176394.0
2007,AR,1054945.0,469953.0,572898.0
2007,AZ,2012585.0,893524.0,1104294.0
2007,CA,12421353.0,6745485.0,5509826.0
2007,CO,2129630.0,1001732.0,1101255.0
2007,CT,1578769.0,857488.0,693826.0
2007,DE,375190.0,200152.0,171660.0
2007,FL,7609810.0,3583544.0,3964522.0
2007,GA,3301875.0,1366149.0,1914254.0
