YEAR,STATE,Non-Renewable,Renewable,Total
2002,NY,112736124.0,26855563.0,139591688.0
2002,OH,146429210.0,639640.0,147068850.0
2002,OK,56956530.0,2226889.0,59183419.0
2002,OR,11637411.0,35461958.0,47099369.0
2002,PA,200049821.0,4273057.0,204322878.0
2002,RI,6955328.0,101437.0,7056765.0
2002,SC,93929330.0,2634168.0,96563498.0
2002,SD,3362262.0,4359696.0,7721958.0
2002,TN,87340372.0,8773890.0,96114262.0
2002,TX,380529797.0,5098745.0,385628542.0
2002,UT,35926350.0,681653.0,36608003.0
2002,VA,72066163.0,2939488.0,75005651.0
2002,VT,3975297.0,1480893.0,5456190.0
2002,WA,22874218.0,79890830.0,102765048.0
2002,WI,54900828.0,3530610.0,58431438.0
2002,WV,93681410.0,1080341.0,94761751.0
2002,WY,42752894.0,1030945.0,43783839.0
2003,  ,0.0,,
2003,AK,4750420.0,1588313.0,6338732.0
2003,AL,121149497.0,16337725.0,137487222.0
2003,AR,45902595.0,4498506.0,50401101.0
2003,AZ,87275965.0,7120253.0,94396218.0
2003,CA,132872721.0,59915822.0,192788542.0
2003,CO,45176011.0,1440776.0,46616787.0
2003,CT,28194774.0,1350277.0,29545050.0
2003,DE,7392287.0,,7392287.0
2003,FL,207873255.0,4736756.0,212610011.0
2003,GA,116763291.0,7313544.0,124076834.0
2003,HI,10358835.0,617536.0,10976371.0
2003,IA,40231459.0,1884733.0,42116192.0
2003,ID,1527948.0,8894987.0,10422935.0
2003,IL,188097810.0,957451.0,189055260.0
2003,IN,124345127.0,543091.0,124888217.0
2003,KS,46189185.0,378374.0,46567560.0
2003,KY,87471528.0,4247292.0,91718820.0
2003,LA,90914745.0,3970294.0,94885040.0
2003,MA,46056719.0,2328305.0,48385024.0
2003,MD,49001203.0,3243035.0,52244237.0
2003,ME,12213003.0,6758632.0,18971635.0
2003,MI,107463542.0,3883518.0,111347060.0
2003,MN,52115792.0,2935204.0,55050995.0
2003,MO,86564134.0,660953.0,87225087.0
2003,MS,39126103.0,1022175.0,40148278.0
2003,MT,17495787.0,8772940.0,26268726.0
2003,NC,118405660.0,9176659.0,127582319.0
2003,ND,29538745.0,1783384.0,31322129.0
2003,NE,29381211.0,1074773.0,30455984.0
2003,NH,19469943.0,2127165.0,21597107.0
2003,NJ,56453690.0,945662.0,57399351.0
2003,NM,32382218.0,353434.0,32735653.0
2003,NV,30372472.0,2822416.0,33194888.0
2003,NY,111639156.0,26004160.0,137643316.0
2003,OH,145686576.0,951552.0,146638128.0
2003,OK,58506851.0,2120005.0,60626856.0
2003,OR,14633209.0,34332929.0,48966139.0
2003,PA,200905628.0,5443885.0,206349513.0
2003,RI,5513356.0,107789.0,5621145.0
2003,SC,88811303.0,4961375.0,93772677.0
2003,SD,3623285.0,4320552.0,7943837.0
2003,TN,79388311.0,12833482.0,92221791.0
2003,TX,374337409.0,4862276.0,379199685.0
2003,UT,37398779.0,624887.0,38023666.0
2003,VA,71266491.0,4042928.0,75309420.0
2003,VT,4468788.0,1559174.0,6027962.0
2003,WA,26209602.0,73885088.0,100094691.0
2003,WI,57053405.0,3069019.0,60122425.0
2003,WV,93181552.0,1530001.0,94711554.0
2003,WY,42666569.0,960033.0,43626602.0
2004,AK,5019481.0,1507237.0,6526717.0
2004,AL,122949316.0,14405454.0,137354771.0
2004,AR,46473814.0,5453818.0,51927632.0
2004,AZ,97542734.0,7021410.0,104564143.0
2004,CA,136668526.0,58111828.0,194780355.0
2004,CO,46419706.0,1449786.0,47869492.0
2004,CT,31412976.0,1220431.0,32633408.0
2004,DE,7855552.0,,7855553.0
2004,FL,213351098.0,4766829.0,218117928.0
2004,GA,119928579.0,6884135.0,126812715.0
2004,HI,10766887.0,643516.0,11410403.0
2004,IA,41146353.0,2101837.0,43248189.0
2004,ID,1841104.0,9021935.0,10863039.0
2004,IL,190982251.0,975528.0,191957778.0
2004,IN,127189306.0,581091.0,127770396.0
2004,KS,46411479.0,371179.0,46782659.0
2004,KY,90338679.0,4191269.0,94529947.0
2004,LA,94107092.0,4065216.0,98172309.0
2004,MA,45272301.0,2228182.0,47500483.0
2004,MD,48956042.0,3096729.0,52052770.0
2004,ME,12070600.0,7028286.0,19098885.0
2004,MI,114389236.0,4098033.0,118487269.0
2004,MN,49828765.0,2535361.0,52364127.0
2004,MO,86143362.0,1489548.0,87632910.0
2004,MS,42148167.0,1514446.0,43662613.0
2004,MT,17870290.0,8918477.0,26788768.0
2004,NC,119161955.0,7168001.0,126329957.0
2004,ND,28170116.0,1765990.0,29936106.0
2004,NE,31017739.0,990970.0,32008709.0
2004,NH,21676780.0,2199008.0,23875787.0
2004,NJ,55039007.0,843335.0,55882342.0
2004,NM,32287949.0,652412.0,32940361.0
2004,NV,34754807.0,2912627.0,37667435.0
2004,NY,112063456.0,25901337.0,137964794.0
2004,OH,147188253.0,1157653.0,148345905.0
2004,OK,56930265.0,3799295.0,60729560.0
2004,OR,17185356.0,34195922.0,51381278.0
2004,PA,209227509.0,5430992.0,214658501.0
2004,RI,4832432.0,106987.0,4939420.0
2004,SC,93729841.0,4210088.0,97939929.0
2004,SD,3755027.0,3755187.0,7510214.0
2004,TN,86356501.0,11238041.0,97594542.0
2004,TX,384751836.0,5547296.0,390299132.0
2004,UT,37563431.0,648545.0,38211977.0
2004,VA,74884633.0,4015407.0,78900040.0
2004,VT,3879044.0,1591334.0,5470379.0
2004,WA,28277928.0,73887124.0,102165052.0
2004,WI,57350618.0,3094316.0,60444933.0
2004,WV,88268021.0,1481541.0,89749562.0
2004,WY,43597942.0,1209662.0,44807604.0
2005,AK,5106873.0,1469787.0,6576659.0
2005,AL,124157198.0,13791383.0,137948581.0
2005,AR,42976471.0,4818039.0,47794509.0
2005,AZ,94994595.0,6484059.0,101478654.0
2005,CA,137006704.0,63286113.0,200292818.0
2005,CO,47390838.0,2225857.0,49616694.0
2005,CT,32318213.0,1231534.0,33549747.0
2005,DE,8136568.0,,8136568.0
2005,FL,215663057.0,4593355.0,220256412.0
2005,GA,129363950.0,7303941.0,136667892.0
2005,HI,10888649.0,634157.0,11522805.0
2005,IA,41432658.0,2723502.0,44156160.0
2005,ID,1723232.0,9101752.0,10824984.0
2005,IL,193208228.0,911918.0,194120146.0
2005,IN,129865598.0,505974.0,130371573.0
2005,KS,45425536.0,437160.0,45862696.0
2005,KY,94439814.0,3382605.0,97822419.0
2005,LA,88919162.0,3697716.0,92616878.0
2005,MA,45215178.0,2300265.0,47515443.0
2005,MD,50334595.0,2327004.0,52661600.0
2005,ME,10684862.0,8159115.0,18843978.0
2005,MI,117663740.0,3956031.0,121619771.0
2005,MN,49592158.0,3426837.0,53018995.0
2005,MO,89660307.0,1167924.0,90828230.0
2005,MS,43545757.0,1521697.0,45067453.0
2005,MT,18279818.0,9658961.0,27938778.0
2005,NC,122544927.0,7203650.0,129748578.0
2005,ND,30360458.0,1572158.0,31932615.0
2005,NE,30454006.0,1010727.0,31464734.0
2005,NH,21729213.0,2740800.0,24470013.0
2005,NJ,59643566.0,906018.0,60549583.0
2005,NM,34171372.0,964270.0,35135642.0
2005,NV,37248665.0,2965087.0,40213752.0
2005,NY,119116452.0,27770967.0,146887419.0
2005,OH,156014990.0,961333.0,156976323.0
2005,OK,64840445.0,3767382.0,68607827.0
2005,OR,16776146.0,32548857.0,49325003.0
2005,PA,213529637.0,4561487.0,218091125.0
2005,RI,6046560.0,6734.0,6053294.0
2005,SC,97762877.0,4751787.0,102514665.0
2005,SD,3288099.0,3232670.0,6520769.0
2005,TN,87041539.0,10075626.0,97117165.0
2005,TX,390000550.0,6668172.0,396668722.0
2005,UT,37191917.0,973213.0,38165131.0
2005,VA,74960796.0,3982249.0,78943045.0
2005,VT,4083966.0,1632788.0,5716755.0
2005,WA,27777540.0,74188311.0,101965850.0
2005,WI,58902791.0,2921872.0,61824664.0
2005,WV,92024114.0,1602171.0,93626285.0
2005,WY,44041668.0,1525639.0,45567307.0
2006,AK,5443137.0,1231060.0,6674197.0
2006,AL,129759194.0,11136248.0,140895441.0
2006,AR,48895340.0,3273363.0,52168703.0
2006,AZ,97546056.0,6846471.0,104392528.0
2006,CA,144835913.0,71962775.0,216798688.0
2006,CO,48010918.0,2687435.0,50698353.0
2006,CT,33374524.0,1307212.0,34681736.0
2006,DE,7181763.0,417.0,7182179.0
2006,FL,219217510.0,4534111.0,223751621.0
2006,GA,132022452.0,5987755.0,138010208.0
2006,HI,10821445.0,737729.0,11559174.0
2006,IA,42119397.0,3364065.0,45483462.0
2006,ID,1453757.0,11932329.0,13386085.0
2006,IL,191404854.0,1022104.0,192426958.0
2006,IN,129780060.0,709727.0,130489788.0
2006,KS,44522197.0,1001539.0,45523736.0
2006,KY,95741515.0,3050499.0,98792014.0
2006,LA,87246251.0,3675577.0,90921829.0
2006,MA,42806301.0,2791474.0,45597775.0
2006,MD,46226444.0,2730436.0,48956880.0
2006,ME,8570389.0,8245783.0,16816173.0
2006,MI,108593827.0,3962912.0,112556738.0
2006,MN,49607174.0,3630613.0,53237789.0
2006,MO,91463158.0,223185.0,91686343.0
2006,MS,44687766.0,1541082.0,46228847.0
2006,MT,17582991.0,10660546.0,28243536.0
2006,NC,119547467.0,5667317.0,125214784.0
2006,ND,28987074.0,1894063.0,30881137.0
2006,NE,30463322.0,1206647.0,31669969.0
