Year,State,Area (SqMi),Non-Renewable Generation (MWh),Renewable Generation (MWh),Total Generation (MWh),Median Income ($),Fossil Energy Consumption (BTU),Renewable Energy Consumption (BTU),Total Energy Consumption (BTU),fossil_share,Total_Policies,Dem_Pres_Percent,Rep_Pres_Percent,Dem_Sen_Percent,Rep_Sen_Percent,fossil_share_2000,fossil_share_2019,Y_OUTCOME
2000,AK,"665,384",5154706.0,1001819.0,6156525.0,78675,3497341.0,10891.0,3508232.0,0.9968955872929728,2.0,27.666339823504693,58.620955315870575,0.0,0.0,0.9968955872929728,0.9904568775213516,0
2000,AL,"52,420",114511544.0,9893796.0,124405340.0,52737,7080909.5,447791.0,7528700.5,0.9405221392456772,1.0,41.56650294789806,56.483755353267654,11.623389341801497,44.35800039172749,0.9405221392456772,0.9388430309927231,0
2000,AR,"53,179",39911247.0,3964519.0,43875766.0,44211,3655354.1,186069.0,3841423.1,0.9515624821436618,0.0,45.86425626043496,51.30719769663293,35.86726158881388,63.958793625122404,0.9515624821436618,0.953777350146214,0
2000,AZ,"113,990",80587778.0,8358799.0,88946577.0,59226,4601548.0,91734.0,4693282.0,0.98045418962679,7.0,44.73458501738885,51.02113816043696,28.674316930503423,79.32252790828845,0.98045418962679,0.9750133566721176,0
2000,CA,"163,695",147245036.0,60837447.0,208082483.0,69696,27152255.5,748031.0,27900286.5,0.9731891283625348,10.0,53.44973682775446,41.651496805255455,55.84281724250367,36.58693920182296,0.9731891283625348,0.9582518545028604,1
2000,CO,"104,094",42693217.0,1472329.0,44165546.0,71816,4771262.2,34903.0,4806165.2,0.9927378692684138,3.0,42.39350901130605,50.7502147736722,100.0,42.41638265425302,0.9927378692684138,0.975435122911344,1
2000,CT,"5,543",30288123.0,2679447.0,32967570.0,74693,2828627.8,94268.0,2922895.8,0.9677484226430516,6.0,55.909628132440346,38.4436032270773,63.214112217171106,34.17145785621627,0.9677484226430516,0.9778120608107808,0
2000,DE,"2,489",5968613.0,18838.0,5987451.0,74980,974787.2,4683.0,979470.2,0.9952188438198528,2.0,54.977727163090904,41.91628832866708,55.525959271299385,43.69848895847923,0.9952188438198528,0.9936077455271763,0
2000,FL,"65,758",186038725.0,5777115.0,191815840.0,57846,12980492.7,418794.0,13399286.7,0.96874505267508,5.0,48.837821204036146,48.84682657204043,51.04361118856235,46.19211638711083,0.96874505267508,0.970516111232323,0
2000,GA,"59,425",118291817.0,5585596.0,123877413.0,62379,9232309.4,411076.0,9643385.4,0.9573722315401808,1.0,43.21099965624139,54.95956965137921,58.50059381316638,169.69954999352166,0.9573722315401808,0.950246488808441,0
2000,HI,"10,932",9672540.0,920863.0,10593403.0,76738,1162781.3,37059.0,1199840.3,0.9691133895069202,5.0,55.791667912303545,37.46286869719066,72.68468822966064,24.506760256117214,0.9691133895069202,0.9766864005136604,0
2000,IA,"56,273",40055618.0,1486392.0,41542010.0,61025,4317295.4,73623.0,4390918.4,0.9832328926905132,7.0,47.19191557860848,46.88563822317745,71.15109784705074,28.848902152949265,0.9832328926905132,0.953662586817963,1
2000,ID,"83,569",460489.0,11449953.0,11910442.0,55993,1206897.1,133866.0,1340763.1,0.9001568584338278,4.0,27.638128843834416,67.17043948047807,35.6552345305366,60.08990056040222,0.9001568584338278,0.897639019938628,0
2000,IL,"57,914",177443862.0,1052219.0,178496081.0,68577,13820247.9,92751.0,13912998.9,0.993333500515119,3.0,54.59652120955491,42.58487997321023,27.726775296306172,66.13471233962203,0.993333500515119,0.988343980444896,0
2000,IN,"36,420",127101358.0,718158.0,127819516.0,60837,12229477.2,63121.0,12292598.2,0.9948651213540844,2.0,41.012102930838964,56.6468816015263,31.851115672179258,66.56433009557577,0.9948651213540844,0.9866361332213288,1
2000,KS,"82,278",44800573.0,15332.0,44815905.0,61126,4210089.5,16218.0,4226307.5,0.9961626076663848,2.0,37.23839226424526,58.0416632469577,44.8422279321728,50.7323997345092,0.9961626076663848,0.9567430198273223,1
2000,KY,"40,408",90669222.0,2336861.0,93006083.0,53989,7149376.7,41142.0,7190518.7,0.9942782987269054,1.0,41.37818258591055,56.5064833631888,32.23812782170636,62.175254388660704,0.9942782987269054,0.982617623396292,1
2000,LA,"52,378",89540893.0,3324742.0,92865635.0,45731,17183747.0,277940.0,17461687.0,0.9840828666783455,0.0,44.87533245433992,52.551063174253656,42.72450504737413,57.27328845027358,0.9840828666783455,0.9850513320009544,0
2000,MA,"10,554",35435904.0,3261977.0,38697881.0,69603,5341138.5,124888.0,5466026.5,0.977151958557098,10.0,59.12612602067912,32.13290299360197,69.10975959456455,12.228790423577054,0.977151958557098,0.9776028839364428,0
2000,MD,"12,406",48594351.0,2551029.0,51145380.0,81188,4473510.3,84405.0,4557915.3,0.9814816655324858,4.0,56.488308384504926,40.18478065506228,63.17809150761878,36.73423055547851,0.9814816655324858,0.9820890760009776,0
2000,ME,"35,380",6635264.0,7412683.0,14047947.0,55479,1506309.7,281830.0,1788139.7,0.8423892719344019,3.0,49.08601647394898,43.971850994987854,31.058701596542292,68.94129840345771,0.8423892719344019,0.8255218389793596,1
2000,MI,"96,714",99892321.0,4317273.0,104209594.0,67755,11072266.4,203102.0,11275368.4,0.981987107401298,1.0,51.27979887069135,46.14621473214064,49.474756369543286,47.86093478753792,0.981987107401298,0.970812221258119,1
2000,MN,"86,936",48447862.0,2975477.0,51423339.0,80765,6042068.7,122503.0,6164571.7,0.980127897612092,7.0,47.9055720603522,45.502350652093234,48.83419025261209,43.29263655601111,0.980127897612092,0.9637961448755232,1
